Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.1619E-08,0.0025013,0.00081305,0,0,0,0.0046092,4.1497E-07,-9.5688E-14,2.9922E-12,7.1384E-07,-9.7456E-11,3.187E-07,0,0,0,0,0,0,package://human_urdf/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/base_link.STL,,Body-1,Body_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulderR_link,0.00037883,-0.0092283,0.0064976,0,0,0,0.00043205,1.734E-08,1.263E-10,-8.2186E-10,1.5347E-08,2.1665E-09,3.291E-09,0,0,0,0,0,0,package://human_urdf/meshes/shoulderR_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/shoulderR_link.STL,,upper hand-1,shoulderR_cs,shoulderR_axis,joint_shoulderR,revolute,0.0077756,0.0025,-0.013145,0,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
elbowR_link,-0.010086,-0.0015,-0.010143,0,0,0,0.00047524,1.2989E-08,-2.2731E-17,-1.1482E-08,2.4409E-08,8.351E-18,1.2859E-08,0,0,0,0,0,0,package://human_urdf/meshes/elbowR_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/elbowR_link.STL,,lower hand-1,elbowR_cs,elbowR_Ax,joint_elbowR,revolute,0.0011176,-0.0115,0.01917,3.1416,0.058237,0,shoulderR_link,0,1,0,0,0,0,0,,,,,,,,
shoulderL_link,-0.0047911,-0.0092283,0.0044054,0,0,0,0.00043205,9.7231E-09,-1.5975E-09,7.0474E-09,1.5347E-08,1.4689E-09,1.0908E-08,0,0,0,0,0,0,package://human_urdf/meshes/shoulderL_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/shoulderL_link.STL,,upper hand-3,shoulderL_cs,shoulderL_axis,joint_shoulderL,revolute,-0.0077756,0.0025,-0.013145,0,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
elbowL_link,-0.010017,-0.0015,0.010211,0,0,0,0.00047524,1.3144E-08,1.683E-17,1.148E-08,2.4409E-08,1.4289E-17,1.2704E-08,0,0,0,0,0,0,package://human_urdf/meshes/elbowL_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/elbowL_link.STL,,lower hand-2,elbowL_cs,elbowL_Ax,joint_elbowL,revolute,-0.014135,-0.0115,0.012997,0,0,3.1416,shoulderL_link,0,1,0,0,0,0,0,,,,,,,,
neck_link,0.00025028,0.004,-0.011501,0,0,0,0.0078498,5.37E-07,2.9708E-23,9.9049E-09,4.3754E-07,-2.5878E-23,5.4124E-07,0,0,0,0,0,0,package://human_urdf/meshes/neck_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/neck_link.STL,,head-1,neck_cs,neck_axis,joint_neck,revolute,0.004,0.0024699,-0.018935,0,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
waistR_link,0.0068854,-0.0025,0.015762,0,0,0,0.0013009,9.0303E-08,-1.1619E-14,-3.5584E-08,1.0576E-07,4.8063E-15,2.4388E-08,0,0,0,0,0,0,package://human_urdf/meshes/waistR_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/waistR_link.STL,,Upper leg-1,waistR_cs,waistR_axis,joint_waistR,revolute,0.0125,0.002366,0.021363,0,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
kneeR_link,0.0081339,-0.0025,-0.012311,0,0,0,0.00070121,2.7167E-08,-1.4134E-25,1.6128E-08,3.7994E-08,2.6849E-25,1.4034E-08,0,0,0,0,0,0,package://human_urdf/meshes/kneeR_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/kneeR_link.STL,,Lower Leg-1,KneeR_cs,KneeR_Ax,joint_kneeR,revolute,0.013702,0,0.031367,-3.1416,-0.41185,-3.1416,waistR_link,0,1,0,0,0,0,0,,,,,,,,
waistL_link,0.0020088,-0.0025,0.01764,0,0,0,0.0013009,1.0461E-07,-1.2411E-14,-1.0905E-08,1.0576E-07,1.2626E-15,1.0085E-08,0,0,0,0,0,0,package://human_urdf/meshes/waistL_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/waistL_link.STL,,Upper leg-2,waistL_cs,waistL_Ax,joint_waistL,revolute,-0.0125,0.0025878,0.020855,0,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
kneeL_link,-0.0019132,-0.0025,-0.014449,0,0,0,0.00070121,3.7413E-08,-4.1598E-25,-4.5321E-09,3.7994E-08,-3.2616E-24,3.7868E-09,0,0,0,0,0,0,package://human_urdf/meshes/kneeL_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://human_urdf/meshes/kneeL_link.STL,,Lower Leg-2,KneeL_cs,KneeL_Ax,joint_kneeL,revolute,0.0039601,0,0.034775,3.1416,-0.11339,-3.1416,waistL_link,0,1,0,0,0,0,0,,,,,,,,
